Unnamed: 0,mahalanobis_distance
row_0,0.47044730176694105
row_1,1.9488794237810918
row_2,2.7901937694843584
row_3,0.8464779168866043
row_4,1.2518374733323678
row_5,2.089451068648478
row_6,1.5459985909008587
row_7,2.0159121106942113
row_8,0.612554825534029
row_9,1.4951318783734677
row_10,1.439827251227067
row_11,1.7902375623550735
row_12,1.6660525365126788
row_13,1.9181026640402636
row_14,1.8471962656559981
row_15,3.1854988802536783
row_16,2.6236669023246932
row_17,14.43170604407134
row_18,3.3569368118450567
row_19,1.8039951808697894
row_20,1.6955837671685732
row_21,15.474581083039338
row_22,10.857497880883376
row_23,0.5698976247831252
row_24,1.722452230232687
row_25,0.38932500690236616
row_26,1.423960895485757
row_27,1.2990706818178368
row_28,0.6330742298687853
row_29,0.41114911383264374
row_30,1.6220517676255648
row_31,1.7356147971867666
row_32,2.636410742607022
row_33,1.5066309650135459
row_34,10.404511662785023
row_35,9.226029617276389
row_36,15.530954945646448
row_37,13.776354326319876
row_38,8.375108940623456
row_39,10.584636009558764
row_40,1.904748837436016
row_41,3.694574450473734
row_42,12.510836831016706
row_43,12.632274361051348
row_44,12.25576214270396
row_45,7.050892586997211
row_46,11.339104627180424
row_47,50.63774224577268
row_48,1.956587739893655
row_49,0.3393721911273457
row_50,0.1485807443813915
row_51,0.13534576922228556
row_52,2.6902707527254526
row_53,2.558336224964776
row_54,1.7396473155313572
row_55,0.6291413004224918
row_56,2.272161420261777
row_57,1.7230695386842498
row_58,1.092221177507712
row_59,2.4356666209094664
row_60,3.7887410052391783
row_61,2.740574228595261
row_62,1.1956724979269655
row_63,3.136999509234591
row_64,2.7090527853442588
row_65,1.5623066067984628
row_66,1.646683953761567
row_67,2.2839587942037975
row_68,2.2599231630815684
row_69,2.916910728910241
row_70,1.8943942698436838
row_71,1.0963160707593174
row_72,4.845740937059874
row_73,0.14017996259099735
row_74,1.8009350618725988
row_75,2.05590948982306
row_76,2.148260456036136
row_77,1.4158440682599494
row_78,0.41421395607764766
row_79,2.119428550069886
row_80,0.6811274669886364
row_81,0.8751494008514886
row_82,0.39225691808580554
row_83,1.372637617669336
row_84,1.4284916402571215
row_85,0.213480600439241
row_86,2.2689090613077703
row_87,0.2962455462526178
row_88,1.8394351841030232
row_89,1.7455254396877444
row_90,4.126102547960594
row_91,0.28828423736196157
row_92,3.025107451565387
row_93,1.206210116612788
row_94,15.088972811883263
row_95,0.42778506149226303
row_96,2.56610599068643
row_97,1.9590003510698881
row_98,2.6936881358664606
row_99,1.7380194036467453
row_100,4.0654498202941465
row_101,0.2485728084477872
row_102,0.6467761962516066
row_103,1.2789439025865867
row_104,0.2606776453012776
row_105,1.1144670044763727
row_106,1.206642015469158
row_107,1.7046608839256818
row_108,1.6922746570596185
row_109,1.2340926407823323
row_110,11.345624855049154
row_111,1.3706894308021362
row_112,1.6170325802811816
row_113,1.1201345182779634
row_114,1.1652191342800688
row_115,10.36215403923743
row_116,1.0099934568920323
row_117,2.3430499071443993
row_118,2.3211575065117547
row_119,9.396991045275328
row_120,0.6121912629762865
row_121,1.5033987177539772
row_122,2.0846468308943553
row_123,0.2895487579066199
row_124,1.0324329620269739
row_125,0.5716676529937573
row_126,10.346902525517642
row_127,2.157264605259118
row_128,2.1291315835458686
row_129,3.3504885989604336
row_130,0.31878766239620365
row_131,0.8029842532482377
row_132,1.665928669751033
row_133,1.371068316504098
row_134,12.729023199085436
row_135,1.482713010019982
row_136,9.670374017511051
row_137,1.8720115271176658
row_138,1.0028756705252522
row_139,1.415933225279444
row_140,2.448693467491007
row_141,1.0515719107682677
row_142,0.5532075384301548
row_143,1.6996322351062978
row_144,1.8296091393048597
row_145,0.8981846715767842
row_146,1.8663478536769569
row_147,1.8460382754950084
row_148,0.381798702181961
row_149,0.9827285074774955
row_150,1.4434211422838301
row_151,1.5376995162190106
row_152,1.5968066034074881
row_153,1.4934478155663973
row_154,1.0662738357157002
row_155,1.6705732925882457
row_156,2.451518911772287
row_157,1.1884783965923755
row_158,1.8573152724110578
row_159,0.4979240211500535
row_160,2.352637645080942
row_161,0.3674639087931879
row_162,1.5194381667268373
row_163,0.4940058362353162
row_164,1.6224560106146446
row_165,0.07838676594822153
row_166,1.9631419030997963
