Unnamed: 0,mahalanobis_distance,Status
row_0,0.470447301766941,Accepted
row_1,1.948879423781092,Accepted
row_2,2.7901937694843584,Accepted
row_3,0.8464779168866043,Accepted
row_4,1.2518374733323678,Accepted
row_5,2.089451068648478,Accepted
row_6,1.545998590900859,Accepted
row_7,2.0159121106942117,Accepted
row_8,0.612554825534029,Accepted
row_9,1.4951318783734675,Accepted
row_10,1.439827251227067,Accepted
row_11,1.7902375623550737,Accepted
row_12,1.6660525365126788,Accepted
row_13,1.918102664040264,Accepted
row_14,1.847196265655998,Accepted
row_15,3.1854988802536783,Accepted
row_16,2.623666902324693,Accepted
row_17,14.43170604407134,Rejected
row_18,3.3569368118450567,Accepted
row_19,1.8039951808697892,Accepted
row_20,1.6955837671685732,Accepted
row_21,15.474581083039338,Rejected
row_22,10.857497880883376,Accepted
row_23,0.5698976247831252,Accepted
row_24,1.722452230232687,Accepted
row_25,0.3893250069023661,Accepted
row_26,1.423960895485757,Accepted
row_27,1.2990706818178368,Accepted
row_28,0.6330742298687853,Accepted
row_29,0.4111491138326437,Accepted
row_30,1.6220517676255648,Accepted
row_31,1.7356147971867666,Accepted
row_32,2.636410742607022,Accepted
row_33,1.506630965013546,Accepted
row_34,10.404511662785024,Accepted
row_35,9.226029617276389,Accepted
row_36,15.530954945646448,Rejected
row_37,13.776354326319876,Rejected
row_38,8.375108940623456,Accepted
row_39,10.584636009558764,Accepted
row_40,1.904748837436016,Accepted
row_41,3.694574450473734,Accepted
row_42,12.510836831016706,Rejected
row_43,12.632274361051348,Rejected
row_44,12.25576214270396,Rejected
row_45,7.050892586997211,Accepted
row_46,11.339104627180424,Accepted
row_47,50.63774224577268,Rejected
row_48,1.956587739893655,Accepted
row_49,0.3393721911273457,Accepted
row_50,0.1485807443813915,Accepted
row_51,0.1353457692222855,Accepted
row_52,2.690270752725453,Accepted
row_53,2.558336224964776,Accepted
row_54,1.7396473155313572,Accepted
row_55,0.6291413004224918,Accepted
row_56,2.272161420261777,Accepted
row_57,1.7230695386842498,Accepted
row_58,1.092221177507712,Accepted
row_59,2.4356666209094664,Accepted
row_60,3.7887410052391775,Accepted
row_61,2.740574228595261,Accepted
row_62,1.1956724979269655,Accepted
row_63,3.136999509234591,Accepted
row_64,2.7090527853442588,Accepted
row_65,1.5623066067984628,Accepted
row_66,1.646683953761567,Accepted
row_67,2.283958794203797,Accepted
row_68,2.2599231630815684,Accepted
row_69,2.916910728910241,Accepted
row_70,1.894394269843684,Accepted
row_71,1.0963160707593174,Accepted
row_72,4.845740937059874,Accepted
row_73,0.1401799625909973,Accepted
row_74,1.8009350618725988,Accepted
row_75,2.05590948982306,Accepted
row_76,2.148260456036136,Accepted
row_77,1.4158440682599494,Accepted
row_78,0.4142139560776476,Accepted
row_79,2.119428550069886,Accepted
row_80,0.6811274669886364,Accepted
row_81,0.8751494008514886,Accepted
row_82,0.3922569180858055,Accepted
